id,date,client_id,card_id,amount,use_chip,merchant_id,merchant_city,errors
7475379,2025-01-01 01:22:00,986,4755,$1.85,Swipe Transaction,14528,Garden City,
7475380,2025-01-01 01:23:00,1703,2969,$71.72,Swipe Transaction,43293,Grand Junction,
7475381,2025-01-01 01:25:00,430,5768,$200.00,Swipe Transaction,27092,Crown Point,
7475382,2025-01-01 01:25:00,1703,2969,$-78.00,Swipe Transaction,43293,Grand Junction,
7475383,2025-01-01 01:30:00,1357,65,$23.08,Swipe Transaction,80797,Tacoma,
7475385,2025-01-01 01:37:00,1484,2527,$40.00,Swipe Transaction,27092,Pinetop,
7475388,2025-01-01 01:40:00,1077,2539,$2.43,Swipe Transaction,46284,Ukiah,
7475389,2025-01-01 01:40:00,1787,2228,$3.77,Swipe Transaction,20519,Lexington,
7475390,2025-01-01 01:41:00,247,4155,$3.29,Swipe Transaction,92883,Lake Charles,
7475391,2025-01-01 01:41:00,1087,1029,$62.98,Online Transaction,17976,ONLINE,
7475394,2025-01-01 01:46:00,1575,224,$34.34,Online Transaction,16798,ONLINE,
7475395,2025-01-01 01:47:00,1731,2797,$73.46,Swipe Transaction,18293,Fontana,
7475396,2025-01-01 01:48:00,125,2023,$9.16,Swipe Transaction,23462,Modesto,
7475397,2025-01-01 01:48:00,989,4124,$541.29,Swipe Transaction,40475,Arlington Heights,
7475398,2025-01-01 01:53:00,63,60,$30.69,Swipe Transaction,32175,Newark,
7475399,2025-01-01 01:54:00,152,2848,$177.41,Swipe Transaction,86616,Muscle Shoals,
7475400,2025-01-01 01:54:00,597,4540,$14.20,Swipe Transaction,66541,San Francisco,
7475401,2025-01-01 01:54:00,1449,241,$119.23,Online Transaction,87530,ONLINE,
7475402,2025-01-01 01:55:00,1755,4228,$10.61,Swipe Transaction,82981,Dublin,
7475403,2025-01-01 01:56:00,760,5876,$52.98,Online Transaction,39021,ONLINE,
7475404,2025-01-01 01:56:00,1642,4281,$3.35,Swipe Transaction,44625,Manasquan,
7475406,2025-01-01 01:58:00,1542,2906,$39.05,Swipe Transaction,58215,Cleveland,
7475407,2025-01-01 02:00:00,727,4295,$6.79,Swipe Transaction,72351,Saint Louis,
7475410,2025-01-01 02:05:00,1097,4690,$100.00,Swipe Transaction,27092,Grand Rapids,
7475411,2025-01-01 02:05:00,1453,1117,$196.22,Swipe Transaction,5009,Middletown,
7475412,2025-01-01 02:06:00,1024,1006,$3.83,Swipe Transaction,2177,Colwich,
7475413,2025-01-01 02:07:00,858,13,$1.87,Swipe Transaction,81833,Gonzales,
7475414,2025-01-01 02:08:00,1084,3454,$6.63,Swipe Transaction,45926,Tacoma,
7475415,2025-01-01 02:08:00,1622,2877,$8.30,Swipe Transaction,43293,Canton,
7475416,2025-01-01 02:09:00,1787,2228,$2.75,Swipe Transaction,75781,Lexington,
7475417,2025-01-01 02:11:00,34,1166,$4.07,Swipe Transaction,49789,Sacramento,
7475419,2025-01-01 02:12:00,1424,4710,$2.31,Swipe Transaction,95811,Seligman,
7475420,2025-01-01 02:13:00,121,5952,$0.21,Swipe Transaction,61195,Menasha,
7475421,2025-01-01 02:13:00,989,2938,$396.03,Swipe Transaction,73661,Thackerville,
7475422,2025-01-01 02:13:00,1453,1117,$-460.00,Swipe Transaction,5009,Middletown,
7475423,2025-01-01 02:14:00,474,2493,$91.02,Swipe Transaction,35451,Williston Park,
7475424,2025-01-01 02:15:00,1142,4674,$3.68,Swipe Transaction,59397,Cohasset,
7475425,2025-01-01 02:16:00,241,58,$38.11,Online Transaction,17976,ONLINE,
7475426,2025-01-01 02:17:00,461,5482,$25.97,Swipe Transaction,45389,Canton,
7475427,2025-01-01 02:17:00,1776,4938,$66.05,Online Transaction,39021,ONLINE,
7475429,2025-01-01 02:22:00,595,4667,$33.02,Swipe Transaction,71416,Bullock,
7475430,2025-01-01 02:22:00,972,4166,$103.97,Swipe Transaction,18966,Markesan,
7475431,2025-01-01 02:25:00,212,2418,$2.33,Swipe Transaction,61195,Dallas,
7475432,2025-01-01 02:25:00,1214,5508,$51.58,Online Transaction,98436,ONLINE,
7475434,2025-01-01 02:28:00,178,4261,$57.43,Swipe Transaction,78454,Grain Valley,
7475435,2025-01-01 02:31:00,1077,4104,$2.87,Swipe Transaction,61195,Ukiah,
7475436,2025-01-01 02:32:00,1155,5784,$27.63,Swipe Transaction,1903,Miami,
7475437,2025-01-01 02:33:00,1443,4730,$76.76,Swipe Transaction,59288,Waianae,
7475438,2025-01-01 02:35:00,387,4601,$9.10,Swipe Transaction,75936,Amherst,
7475439,2025-01-01 02:35:00,1998,2160,$0.75,Swipe Transaction,99312,Burlingame,
7475440,2025-01-01 02:39:00,706,4284,$160.00,Swipe Transaction,27092,Boulder Creek,
7475441,2025-01-01 02:40:00,503,1088,$28.21,Swipe Transaction,20561,Chicago,
7475442,2025-01-01 02:40:00,714,2958,$44.86,Swipe Transaction,1238,Fayetteville,
7475443,2025-01-01 02:44:00,908,5154,$57.73,Swipe Transaction,68751,Holly Springs,
7475444,2025-01-01 02:45:00,758,2181,$6.52,Swipe Transaction,75781,Alhambra,
7475446,2025-01-01 02:48:00,1411,1069,$4.04,Swipe Transaction,10455,Saint Charles,
7475447,2025-01-01 02:51:00,140,152,$3.93,Swipe Transaction,61195,Woodbury,
7475449,2025-01-01 02:51:00,1424,4710,$5.12,Swipe Transaction,95811,Seligman,
7475450,2025-01-01 02:52:00,843,184,$19.15,Swipe Transaction,73365,Terre Haute,
7475452,2025-01-01 02:57:00,895,217,$58.85,Swipe Transaction,88544,Big Bear Lake,
7475453,2025-01-01 02:57:00,1313,4183,$2.77,Swipe Transaction,61746,Sutersville,
7475454,2025-01-01 02:57:00,1459,3383,$2.75,Swipe Transaction,47756,Albuquerque,
7475455,2025-01-01 02:59:00,474,2493,$115.37,Swipe Transaction,98648,Williston Park,
7475456,2025-01-01 03:02:00,1802,5836,$77.70,Swipe Transaction,60569,Somerset,
7475457,2025-01-01 03:03:00,702,4199,$120.87,Swipe Transaction,61195,Huntington Station,
7475458,2025-01-01 03:06:00,461,5482,$23.86,Swipe Transaction,45389,Canton,
7475459,2025-01-01 03:08:00,169,3256,$11.18,Swipe Transaction,2205,Sumter,
7475460,2025-01-01 03:08:00,957,4532,$-147.00,Swipe Transaction,44795,Marysville,
7475461,2025-01-01 03:09:00,140,152,$3.92,Swipe Transaction,75936,Whites Creek,
7475462,2025-01-01 03:09:00,843,184,$27.29,Swipe Transaction,73365,Terre Haute,
7475463,2025-01-01 03:11:00,1921,1181,$40.89,Online Transaction,59350,ONLINE,
7475464,2025-01-01 03:13:00,957,4532,$14.21,Swipe Transaction,44795,Marysville,
7475465,2025-01-01 03:16:00,1920,3415,$24.47,Swipe Transaction,35001,Oak Park,
7475466,2025-01-01 03:17:00,319,248,$29.60,Swipe Transaction,54850,Fresno,
7475467,2025-01-01 03:17:00,613,1191,$22.77,Swipe Transaction,44919,Lombard,
7475468,2025-01-01 03:20:00,121,5952,$58.47,Online Transaction,80770,ONLINE,
7475469,2025-01-01 03:23:00,1787,2228,$37.09,Swipe Transaction,96712,Lexington,
7475470,2025-01-01 03:26:00,609,2892,$11.44,Swipe Transaction,46284,Garland,
7475471,2025-01-01 03:27:00,1209,3387,$4.78,Swipe Transaction,50783,New Rochelle,
7475473,2025-01-01 03:29:00,895,1116,$35.23,Swipe Transaction,45188,Big Bear Lake,
7475474,2025-01-01 03:32:00,819,3245,$102.27,Swipe Transaction,51664,Pittsburgh,
7475475,2025-01-01 03:32:00,1237,2092,$3.58,Swipe Transaction,75936,Waukegan,
7475476,2025-01-01 03:32:00,1538,3206,$14.36,Swipe Transaction,98374,Nazareth,
7475477,2025-01-01 03:36:00,1686,2617,$176.44,Swipe Transaction,1827,Lafayette,
7475478,2025-01-01 03:49:00,442,112,$120.00,Swipe Transaction,27092,Belleville,
7475479,2025-01-01 03:51:00,1209,3387,$4.39,Swipe Transaction,50783,New Rochelle,
7475480,2025-01-01 03:52:00,618,3411,$6.72,Swipe Transaction,75781,Manhattan Beach,
7475481,2025-01-01 03:52:00,1941,2940,$13.79,Swipe Transaction,56241,Campbell,
7475482,2025-01-01 03:53:00,241,3921,$63.50,Swipe Transaction,70766,Rockingham,
7475483,2025-01-01 03:56:00,377,4602,$59.44,Swipe Transaction,55604,Withee,
7475485,2025-01-01 03:57:00,185,5361,$15.89,Online Transaction,39261,ONLINE,
7475486,2025-01-01 04:01:00,421,2177,$96.63,Swipe Transaction,20561,Ottumwa,
7475487,2025-01-01 04:05:00,1382,2838,$93.13,Swipe Transaction,22014,Dallas,
7475488,2025-01-01 04:06:00,1080,2562,$31.50,Swipe Transaction,85304,Eastman,
7475489,2025-01-01 04:13:00,1413,4673,$1.62,Swipe Transaction,20519,Jasper,
7475490,2025-01-01 04:14:00,585,5881,$20.86,Online Transaction,41122,ONLINE,
7475491,2025-01-01 04:17:00,356,3251,$7.71,Online Transaction,50404,ONLINE,
7475492,2025-01-01 04:17:00,1920,2791,$33.19,Swipe Transaction,35001,Oak Park,
7475493,2025-01-01 04:18:00,816,5066,$108.13,Swipe Transaction,98374,Church Hill,
7475494,2025-01-01 04:21:00,103,5113,$166.34,Online Transaction,56276,ONLINE,
7475495,2025-01-01 04:21:00,1635,115,$14.50,Swipe Transaction,45501,Jamaica,
7475496,2025-01-01 04:22:00,1313,4183,$3.36,Swipe Transaction,98374,Slovan,
7475497,2025-01-01 04:25:00,20,3857,$2.56,Swipe Transaction,59397,Weatherford,
7475498,2025-01-01 04:27:00,1736,113,$55.79,Swipe Transaction,24823,Brooklyn,
7475499,2025-01-01 04:28:00,1812,2531,$174.06,Swipe Transaction,68671,North Little Rock,
7475500,2025-01-01 04:30:00,1905,5807,$54.98,Online Transaction,73186,ONLINE,
7475501,2025-01-01 04:31:00,526,5917,$22.23,Online Transaction,16798,ONLINE,
7475502,2025-01-01 04:31:00,1378,2921,$60.00,Swipe Transaction,27092,Suring,
7475505,2025-01-01 04:38:00,100,5903,$60.09,Swipe Transaction,20916,Hillsborough,
7475506,2025-01-01 04:38:00,839,4725,$74.76,Swipe Transaction,32175,Danbury,
7475507,2025-01-01 04:39:00,1629,4290,$29.93,Swipe Transaction,95377,Fort Lauderdale,
7475508,2025-01-01 04:44:00,1807,2823,$119.42,Swipe Transaction,84708,Bronx,
7475509,2025-01-01 04:45:00,1718,4706,$46.21,Online Transaction,15143,ONLINE,
7475510,2025-01-01 04:49:00,1629,4290,$26.38,Online Transaction,39021,ONLINE,
7475511,2025-01-01 04:49:00,1880,2014,$67.09,Swipe Transaction,40475,Arlington Heights,
7475512,2025-01-01 04:51:00,1563,5125,$1.14,Swipe Transaction,14528,Los Angeles,
7475513,2025-01-01 04:52:00,1728,153,$69.85,Swipe Transaction,49286,Waupaca,
7475514,2025-01-01 04:54:00,33,2404,$8.73,Swipe Transaction,50783,Spring Creek,
7475515,2025-01-01 04:54:00,464,3233,$104.40,Swipe Transaction,32175,Orlando,
7475516,2025-01-01 04:56:00,464,3233,$104.10,Swipe Transaction,32175,Orlando,Technical Glitch
7475517,2025-01-01 04:58:00,984,2796,$79.70,Swipe Transaction,60569,Kissimmee,
7475518,2025-01-01 04:58:00,1148,5804,$2.68,Swipe Transaction,59935,Philadelphia,
7475519,2025-01-01 05:04:00,1540,5562,$46.05,Online Transaction,39021,ONLINE,
7475520,2025-01-01 05:05:00,1102,2822,$185.60,Online Transaction,80770,ONLINE,
7475521,2025-01-01 05:09:00,1378,4227,$60.00,Swipe Transaction,27092,Suring,
7475522,2025-01-01 05:10:00,630,2059,$60.00,Swipe Transaction,27092,Jacksonville,
7475523,2025-01-01 05:10:00,1455,2960,$11.78,Swipe Transaction,76199,San Diego,
7475524,2025-01-01 05:12:00,1445,3722,$4.43,Online Transaction,39021,ONLINE,
7475525,2025-01-01 05:12:00,1964,2508,$18.24,Swipe Transaction,715,Clayton,
7475526,2025-01-01 05:15:00,847,4531,$140.00,Swipe Transaction,27092,Billings,
7475527,2025-01-01 05:15:00,1098,4626,$6.76,Swipe Transaction,50867,Hawarden,
7475528,2025-01-01 05:16:00,1541,228,$4.22,Swipe Transaction,61806,Clinton,
7475529,2025-01-01 05:19:00,595,4666,$67.25,Swipe Transaction,94050,Bunn,
7475531,2025-01-01 05:20:00,1356,4752,$48.76,Swipe Transaction,76639,Fond Du Lac,
7475532,2025-01-01 05:24:00,641,14,$8.84,Swipe Transaction,41943,Columbus,
7475533,2025-01-01 05:26:00,961,4584,$36.53,Swipe Transaction,42465,Wilkes Barre,
7475534,2025-01-01 05:30:00,1034,4622,$41.30,Online Transaction,17976,ONLINE,
7475535,2025-01-01 05:33:00,503,1088,$16.71,Swipe Transaction,32175,Chicago,
7475537,2025-01-01 05:36:00,1759,4232,$3.03,Swipe Transaction,23481,Oceanside,
7475538,2025-01-01 05:38:00,470,5097,$6.83,Swipe Transaction,22938,Wister,
7475539,2025-01-01 05:38:00,1696,2408,$4.02,Swipe Transaction,35451,Merritt Island,
7475540,2025-01-01 05:38:00,1769,43,$0.18,Swipe Transaction,86438,Manahawkin,
7475541,2025-01-01 05:40:00,303,4194,$80.00,Swipe Transaction,27092,Brighton,
7475542,2025-01-01 05:40:00,550,163,$1.98,Swipe Transaction,50783,Mecosta,
7475543,2025-01-01 05:41:00,1676,134,$66.98,Swipe Transaction,21189,Elk Grove Village,
7475544,2025-01-01 05:43:00,185,5361,$2.91,Swipe Transaction,25705,Elizabeth,
7475545,2025-01-01 05:43:00,810,4309,$16.16,Swipe Transaction,2124,Springfield,
7475546,2025-01-01 05:43:00,1540,3763,$46.01,Online Transaction,39021,ONLINE,
7475547,2025-01-01 05:46:00,1513,2965,$1.00,Swipe Transaction,86438,Dryden,
7475548,2025-01-01 05:46:00,1776,4938,$11.91,Swipe Transaction,73840,Nashport,
7475551,2025-01-01 05:48:00,52,4976,$115.82,Swipe Transaction,26810,Plattekill,
7475552,2025-01-01 05:48:00,246,1158,$34.46,Swipe Transaction,53187,Minneapolis,
7475555,2025-01-01 05:49:00,737,148,$1.40,Swipe Transaction,88374,Medford,
7475556,2025-01-01 05:51:00,1487,5978,$91.13,Swipe Transaction,20884,Renfrew,
7475557,2025-01-01 05:51:00,1516,1002,$16.67,Swipe Transaction,69956,Milpitas,
7475559,2025-01-01 05:52:00,822,5385,$10.45,Online Transaction,50292,ONLINE,
7475561,2025-01-01 05:53:00,1516,1002,$1.88,Swipe Transaction,19252,Milpitas,
7475562,2025-01-01 05:55:00,11,243,$262.47,Swipe Transaction,16041,South Ozone Park,
7475563,2025-01-01 05:55:00,190,4621,$3.40,Swipe Transaction,23098,Skokie,
7475564,2025-01-01 05:56:00,530,3344,$2.98,Swipe Transaction,88646,Colton,
7475565,2025-01-01 05:56:00,1840,3322,$10.79,Swipe Transaction,27156,Beaverton,
7475566,2025-01-01 05:57:00,28,2568,$300.48,Swipe Transaction,23008,Woodbridge,
7475567,2025-01-01 05:57:00,327,5512,$61.86,Online Transaction,39021,ONLINE,
7475568,2025-01-01 05:57:00,1826,5779,$3.29,Swipe Transaction,43293,Lady Lake,
7475569,2025-01-01 05:59:00,1381,3738,$9.84,Swipe Transaction,11264,Mentor,
7475570,2025-01-01 06:00:00,1080,2562,$43.13,Swipe Transaction,11468,Macon,
7475571,2025-01-01 06:00:00,1209,4573,$3.41,Swipe Transaction,89738,Yonkers,
7475572,2025-01-01 06:01:00,592,4133,$12.81,Online Transaction,39021,ONLINE,
7475573,2025-01-01 06:01:00,628,2579,$95.00,Swipe Transaction,59935,Narberth,
7475574,2025-01-01 06:01:00,760,5876,$2.12,Swipe Transaction,75781,Columbus,
7475575,2025-01-01 06:01:00,848,3915,$60.37,Swipe Transaction,83743,Harwood,
7475576,2025-01-01 06:01:00,1248,5787,$41.95,Swipe Transaction,40475,Arlington Heights,
7475577,2025-01-01 06:01:00,1382,1110,$36.92,Swipe Transaction,63909,Dallas,
7475578,2025-01-01 06:02:00,38,2526,$14.67,Online Transaction,50404,ONLINE,
7475579,2025-01-01 06:02:00,847,4531,$100.00,Swipe Transaction,27092,Billings,
7475580,2025-01-01 06:02:00,1529,4985,$3.98,Swipe Transaction,23492,Pompano Beach,
7475582,2025-01-01 06:03:00,511,974,$3.33,Swipe Transaction,20519,Phoenix,
7475584,2025-01-01 06:03:00,763,4993,$33.64,Swipe Transaction,3316,Wynnewood,
7475585,2025-01-01 06:03:00,1242,5102,$78.05,Swipe Transaction,32175,Chicago,
7475586,2025-01-01 06:03:00,1696,2408,$9.68,Online Transaction,39021,ONLINE,
7475588,2025-01-01 06:04:00,1675,4692,$64.39,Swipe Transaction,43293,Puyallup,
7475589,2025-01-01 06:05:00,1786,1000,$8.73,Swipe Transaction,50867,Louisville,
7475590,2025-01-01 06:06:00,211,3739,$2.13,Swipe Transaction,22484,Lake Havasu City,
7475591,2025-01-01 06:06:00,997,5046,$35.90,Swipe Transaction,83070,Chula Vista,
7475592,2025-01-01 06:07:00,112,1134,$23.61,Online Transaction,39021,ONLINE,
7475594,2025-01-01 06:07:00,425,5149,$2.72,Swipe Transaction,88374,Carmel,
7475595,2025-01-01 06:07:00,759,3716,$66.00,Swipe Transaction,59935,Franklin,
7475596,2025-01-01 06:07:00,996,1107,$1.54,Swipe Transaction,12547,Hollywood,
7475598,2025-01-01 06:07:00,1741,1097,$10.02,Swipe Transaction,50856,Tucson,
7475599,2025-01-01 06:08:00,890,5799,$4.04,Swipe Transaction,35433,Fullerton,
7475600,2025-01-01 06:08:00,1381,3738,$5.41,Swipe Transaction,11264,Mentor,
7475601,2025-01-01 06:08:00,1692,5371,$42.28,Online Transaction,39021,ONLINE,
7475602,2025-01-01 06:09:00,152,2848,$113.09,Swipe Transaction,71667,Russellville,
7475603,2025-01-01 06:09:00,980,5052,$1.33,Swipe Transaction,59935,Gwynn Oak,
7475604,2025-01-01 06:09:00,1150,4672,$7.09,Swipe Transaction,19464,Hurst,
7475605,2025-01-01 06:09:00,1445,2899,$2.38,Swipe Transaction,53402,Claypool,
7475606,2025-01-01 06:10:00,89,2998,$6.89,Swipe Transaction,44678,Mesilla Park,
7475607,2025-01-01 06:10:00,135,2808,$189.29,Online Transaction,90999,ONLINE,
7475608,2025-01-01 06:10:00,357,5481,$140.00,Swipe Transaction,27092,Boston,
7475609,2025-01-01 06:10:00,657,4662,$144.68,Swipe Transaction,93195,Pahrump,
7475610,2025-01-01 06:10:00,1428,5116,$1.33,Swipe Transaction,14528,Lebanon,
7475611,2025-01-01 06:10:00,1797,1127,$28.84,Online Transaction,15143,ONLINE,Bad Expiration
7475612,2025-01-01 06:11:00,1640,4967,$-84.00,Swipe Transaction,61195,Adrian,
7475614,2025-01-01 06:13:00,89,2998,$121.66,Swipe Transaction,5495,Mesilla Park,
7475615,2025-01-01 06:13:00,425,5149,$1.69,Swipe Transaction,14528,Marina,
7475616,2025-01-01 06:13:00,679,5972,$2.99,Swipe Transaction,75703,Jackson Center,
7475617,2025-01-01 06:13:00,1054,3860,$74.60,Swipe Transaction,60569,Banks,
7475619,2025-01-01 06:14:00,634,3375,$10.70,Swipe Transaction,569,Independence,
7475620,2025-01-01 06:14:00,827,2836,$6.66,Swipe Transaction,75781,Utica,
7475621,2025-01-01 06:14:00,1516,1002,$23.83,Swipe Transaction,52436,Milpitas,
7475622,2025-01-01 06:15:00,497,2829,$4.87,Swipe Transaction,69972,Sioux Falls,
7475623,2025-01-01 06:16:00,135,2808,$-148.00,Online Transaction,90999,ONLINE,
7475624,2025-01-01 06:16:00,759,3716,$-66.00,Swipe Transaction,59935,Franklin,
7475625,2025-01-01 06:16:00,1315,5434,$11.70,Swipe Transaction,75781,Mulkeytown,
7475627,2025-01-01 06:16:00,1678,4680,$6.58,Swipe Transaction,17493,Wethersfield,
7475628,2025-01-01 06:16:00,1703,2969,$7.35,Swipe Transaction,68671,Grand Junction,
7475630,2025-01-01 06:16:00,1849,5904,$2.67,Swipe Transaction,86058,Tacoma,
7475632,2025-01-01 06:17:00,1675,4692,$-86.00,Swipe Transaction,43293,Puyallup,
7475633,2025-01-01 06:17:00,1851,5528,$120.00,Swipe Transaction,27092,Youngsville,
7475634,2025-01-01 06:18:00,571,5960,$1.77,Swipe Transaction,49903,Martinsburg,
7475635,2025-01-01 06:18:00,759,3716,$2.98,Swipe Transaction,59935,Franklin,
7475636,2025-01-01 06:18:00,1052,3651,$18.26,Online Transaction,15143,ONLINE,
7475637,2025-01-01 06:18:00,1799,5909,$4.90,Swipe Transaction,27907,Woodinville,
7475638,2025-01-01 06:19:00,122,2034,$35.51,Swipe Transaction,13646,Orlando,
7475639,2025-01-01 06:19:00,557,5570,$24.22,Swipe Transaction,98552,Canton,
7475640,2025-01-01 06:19:00,946,97,$1.04,Swipe Transaction,56979,Latrobe,
7475641,2025-01-01 06:19:00,1299,3263,$27.28,Online Transaction,39021,ONLINE,
7475642,2025-01-01 06:19:00,1675,4692,$86.00,Swipe Transaction,43293,Puyallup,
7475643,2025-01-01 06:19:00,1797,1127,$38.58,Online Transaction,15143,ONLINE,Bad Card Number
7475644,2025-01-01 06:20:00,477,2450,$2.69,Swipe Transaction,20519,Howland,
7475645,2025-01-01 06:20:00,1843,4553,$3.11,Swipe Transaction,79664,Manteno,
7475646,2025-01-01 06:21:00,1640,4967,$77.59,Swipe Transaction,61195,Adrian,
7475647,2025-01-01 06:21:00,1694,5944,$39.14,Swipe Transaction,1743,Stamford,
7475648,2025-01-01 06:21:00,1777,4557,$101.79,Swipe Transaction,30286,Burke,
7475649,2025-01-01 06:22:00,973,3833,$35.53,Swipe Transaction,98374,Crenshaw,
7475650,2025-01-01 06:23:00,628,2579,$-95.00,Swipe Transaction,59935,Narberth,
7475651,2025-01-01 06:23:00,754,4122,$39.07,Swipe Transaction,31893,Myrtle Beach,
7475652,2025-01-01 06:23:00,1138,2122,$36.33,Online Transaction,39021,ONLINE,
7475654,2025-01-01 06:24:00,327,5512,$47.61,Online Transaction,39021,ONLINE,
7475655,2025-01-01 06:24:00,628,2579,$79.41,Swipe Transaction,59935,Narberth,
7475658,2025-01-01 06:24:00,1516,1002,$4.13,Swipe Transaction,78454,Milpitas,
7475659,2025-01-01 06:24:00,1944,1059,$100.00,Swipe Transaction,27092,Cleveland,
7475660,2025-01-01 06:25:00,81,96,$3.37,Swipe Transaction,50783,Bulverde,
7475661,2025-01-01 06:25:00,557,5570,$2.36,Swipe Transaction,50783,Canton,
7475662,2025-01-01 06:25:00,676,3910,$2.27,Swipe Transaction,44919,Luther,
7475663,2025-01-01 06:26:00,64,5429,$190.91,Swipe Transaction,14914,Ocoee,
7475664,2025-01-01 06:26:00,1445,4716,$3.86,Online Transaction,39021,ONLINE,
7475665,2025-01-01 06:26:00,1640,4967,$84.00,Swipe Transaction,61195,Adrian,
7475666,2025-01-01 06:27:00,515,5078,$4.37,Swipe Transaction,91264,Longview,
